epoch,loss,acc,val_loss,val_acc
1,0.718714714050293,0.5065000057220459,0.6926044821739197,0.5019999742507935
2,0.6935595870018005,0.4945000112056732,0.6930772066116333,0.5
3,0.6932815313339233,0.5099999904632568,0.6901105642318726,0.5009999871253967
4,0.6839911341667175,0.5615000128746033,1.0144846439361572,0.5009999871253967
5,0.6743246912956238,0.5979999899864197,0.9751264452934265,0.5460000038146973
6,0.6706497669219971,0.6464999914169312,0.7686871886253357,0.5600000023841858
7,0.6348518133163452,0.6520000100135803,0.6257188320159912,0.6340000033378601
8,0.616428017616272,0.6575000286102295,1.7265510559082031,0.5289999842643738
9,0.6120375990867615,0.6919999718666077,0.569126546382904,0.6980000138282776
10,0.5895555019378662,0.6974999904632568,0.6868262887001038,0.6480000019073486
11,0.5776455402374268,0.7014999985694885,0.6465719938278198,0.5770000219345093
12,0.5569691061973572,0.7105000019073486,0.6463897228240967,0.671999990940094
13,0.567286491394043,0.7149999737739563,0.5256807208061218,0.7459999918937683
14,0.5413867235183716,0.7354999780654907,0.5407758951187134,0.7239999771118164
15,0.5252001285552979,0.7300000190734863,0.6027259230613708,0.6850000023841858
16,0.5183655619621277,0.7455000281333923,0.49725884199142456,0.753000020980835
17,0.500392496585846,0.7570000290870667,0.50057452917099,0.7480000257492065
18,0.48961716890335083,0.762499988079071,0.4843215048313141,0.7670000195503235
19,0.5060392022132874,0.7645000219345093,0.4805934429168701,0.7620000243186951
20,0.47604450583457947,0.7774999737739563,0.529276430606842,0.7799999713897705
21,0.4570845067501068,0.7894999980926514,0.4864790141582489,0.7699999809265137
22,0.46571677923202515,0.7799999713897705,0.49248558282852173,0.7590000033378601
23,0.4543115496635437,0.7835000157356262,0.44634804129600525,0.781000018119812
24,0.4460642337799072,0.8065000176429749,0.5019896626472473,0.7749999761581421
25,0.4448050558567047,0.7960000038146973,0.4843972325325012,0.7720000147819519
26,0.4181678891181946,0.8115000128746033,0.4543329179286957,0.7900000214576721
27,0.4162559509277344,0.8044999837875366,0.43967580795288086,0.7979999780654907
28,0.41441041231155396,0.8125,0.5554561018943787,0.734000027179718
29,0.401274174451828,0.815500020980835,0.4759838283061981,0.8100000023841858
30,0.39552977681159973,0.8295000195503235,0.46729642152786255,0.7990000247955322
31,0.37697508931159973,0.8374999761581421,0.542989194393158,0.7599999904632568
32,0.3836383521556854,0.8355000019073486,0.44834908843040466,0.7990000247955322
33,0.3583078384399414,0.8445000052452087,0.4607287049293518,0.8069999814033508
34,0.3683549761772156,0.8289999961853027,0.4743258059024811,0.7950000166893005
35,0.37030503153800964,0.8339999914169312,0.6077589988708496,0.75
36,0.3533003330230713,0.8529999852180481,0.42281991243362427,0.8209999799728394
37,0.3446213901042938,0.8495000004768372,0.43086904287338257,0.8109999895095825
38,0.33169031143188477,0.8519999980926514,0.500421404838562,0.7990000247955322
39,0.3538094758987427,0.8429999947547913,0.42732152342796326,0.8230000138282776
40,0.30155614018440247,0.8725000023841858,0.4565616548061371,0.8230000138282776
41,0.3252267837524414,0.8600000143051147,0.4562605023384094,0.828000009059906
42,0.320432186126709,0.8650000095367432,0.45538097620010376,0.8080000281333923
43,0.30875396728515625,0.871999979019165,0.4570765197277069,0.8299999833106995
44,0.32713064551353455,0.8650000095367432,0.429060697555542,0.828000009059906
45,0.2988826334476471,0.8769999742507935,0.4223834276199341,0.8230000138282776
46,0.2953591048717499,0.8734999895095825,0.4294049143791199,0.8309999704360962
47,0.298669695854187,0.8755000233650208,0.5208022594451904,0.8050000071525574
48,0.2864111363887787,0.871999979019165,0.44932833313941956,0.8289999961853027
49,0.27056387066841125,0.8895000219345093,0.4521942734718323,0.8230000138282776
50,0.2762187421321869,0.8865000009536743,0.5408766865730286,0.800000011920929
51,0.26130300760269165,0.8865000009536743,0.5864129066467285,0.7960000038146973
52,0.2487231343984604,0.8970000147819519,0.5282312631607056,0.8090000152587891
53,0.28529655933380127,0.8845000267028809,0.5401338338851929,0.8360000252723694
54,0.2592220902442932,0.8914999961853027,0.45823320746421814,0.8420000076293945
55,0.2503764033317566,0.9004999995231628,0.5610980987548828,0.8169999718666077
56,0.22050026059150696,0.9169999957084656,0.45647066831588745,0.8270000219345093
57,0.2254776954650879,0.902999997138977,0.6412966847419739,0.781000018119812
